,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SalesID,SalePrice,MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,saledate,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,fiProductClassDesc,state,ProductGroup,ProductGroupDesc,Drive_System,Enclosure,Forks,Pad_Type,Ride_Control,Stick,Transmission,Turbocharged,Blade_Extension,Blade_Width,Enclosure_Type,Engine_Horsepower,Hydraulics,Pushblock,Ripper,Scarifier,Tip_Control,Tire_Size,Coupler,Coupler_System,Grouser_Tracks,Hydraulics_Flow,Track_Type,Undercarriage_Pad_Width,Stick_Length,Thumb,Pattern_Changer,Grouser_Type,Backhoe_Mounting,Blade_Type,Travel_Controls,Differential_Type,Steering_Controls
911,538,639,83,438,384567,4314929,48000,2280285,14272,172,1.0,2003,5385.0,Medium,12/16/2010 0:00,200CLC,200,C,,LC,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",Colorado,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
513,430,426,121,56,395846,6277733,11000,1934309,3449,149,1.0,2008,,,10/4/2011 0:00,301.8C,301.8,C,,,Mini,"Hydraulic Excavator, Track - 0.0 to 2.0 Metric Tons",Texas,TEX,Track Excavators,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,Yes,Double,,,,,
350,377,573,405,125,84920,1387178,30000,1289986,3538,132,1.0,1998,,,10/5/2001 0:00,416C,416,C,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Nevada,BL,Backhoe Loaders,Four Wheel Drive,EROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
549,556,980,635,569,282429,1885268,8500,1519982,10913,132,12.0,2000,,,9/24/2008 0:00,TL126,TL126,,,,,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,South Carolina,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
635,294,65,520,19,285265,2196818,9000,1773106,3176,136,,1000,0.0,,8/11/2007 0:00,580SUPER E,580,SUPER E,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,California,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
515,941,714,689,21,284947,2195632,13000,1680223,3170,136,,1000,1894.0,Low,5/22/2008 0:00,580K,580,K,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arkansas,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Powershuttle,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
644,910,739,829,644,78492,1372191,13750,1087510,4137,132,6.0,1963,,,5/20/1997 0:00,D7E,D7,E,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Missouri,TTT,Track Type Tractors,,OROPS,,,,,Direct Drive,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,
42,547,613,834,390,312323,2273396,19500,1238965,3537,136,1.0,1996,0.0,,9/16/2008 0:00,416B,416,B,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Washington,BL,Backhoe Loaders,Four Wheel Drive,EROPS,None or Unspecified,Street,No,Extended,Standard,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
993,839,72,637,38,26587,1254086,14000,1210579,3170,132,1.0,1987,,,3/30/2007 0:00,580K,580,K,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,North Carolina,BL,Backhoe Loaders,Two Wheel Drive,EROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
830,168,734,744,948,172751,1601798,17750,1421502,4603,132,28.0,1000,,,5/22/1999 0:00,310D,310,D,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Mississippi,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
684,306,792,870,316,174275,1603937,24000,1400752,8343,132,1.0,1986,,,11/17/1998 0:00,844,844,,,,Medium,Wheel Loader - 275.0 to 350.0 Horsepower,Texas,WL,Wheel Loader,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
456,406,965,531,880,228188,1718864,45000,1441724,2153,132,7.0,2005,,,6/16/2009 0:00,SK290LC,SK290,,,LC,Large / Medium,"Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",Alabama,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,32 inch,"10' 6""",Manual,None or Unspecified,Triple,,,,,
597,794,830,389,482,393587,6264141,12000,1265806,1683,149,1.0,1987,,,12/13/2011 0:00,E240L,E240,,,L,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Maryland,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
962,149,295,249,953,245511,1755512,39000,1323623,265,132,1.0,1998,,,5/8/2003 0:00,D65PX-12,D65,PX,-12,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Texas,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,Single Shank,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,
62,887,568,37,811,344141,2374064,75000,1766712,15261,136,,2005,2274.0,High,12/14/2007 0:00,ZX200LC,ZX200,,,LC,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",North Carolina,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,Manual,None or Unspecified,Double,,,,,
602,844,227,92,838,201451,1640639,22000,1202381,4607,132,1.0,2003,,,4/3/2009 0:00,310SG,310,SG,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Nevada,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
107,132,474,494,789,240977,1745418,22500,1407539,2219,132,14.0,1990,,,3/29/2000 0:00,PC200-3LC,PC200,,-3LC,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Indiana,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,Manual,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
748,997,632,64,166,160918,1581533,26500,1470271,8165,132,18.0,1984,,,12/10/1992 0:00,490,490,,,,Small,"Hydraulic Excavator, Track - 8.0 to 11.0 Metric Tons",Pennsylvania,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,16 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
52,511,921,208,963,285904,2198918,35000,1784147,22353,136,,2004,2412.0,Medium,9/13/2008 0:00,850KXLT,850,K,,XLT,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",California,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,Multi Shank,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
776,468,710,132,433,223332,1698817,30000,1525193,15456,132,1.0,1000,,,5/16/2006 0:00,HL7403,HL740,3,,,,Wheel Loader - 120.0 to 135.0 Horsepower,Pennsylvania,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
461,620,570,305,877,195264,1632936,16000,1297883,4604,132,1.0,1998,,,9/27/2002 0:00,310E,310,E,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,California,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
896,413,737,271,930,98862,1416355,34000,1438383,3357,132,1.0,1979,,,9/20/2005 0:00,12G,12,G,,,,Motorgrader - 130.0 to 145.0 Horsepower,Illinois,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,12',None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,"14""",,,,,,,,,,,,,,,
265,33,389,248,195,1707,1144937,16500,149434,7023,121,3.0,2002,800.0,Medium,8/25/2005 0:00,252,252,,,,,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Alabama,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,Manual,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
881,565,945,322,589,42093,1282629,19000,1243985,3170,132,1.0,1990,,,6/20/1997 0:00,580K,580,K,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Washington,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
465,277,673,509,202,94555,1406245,18000,1162903,43,132,10.0,1992,,,4/23/1998 0:00,416II,416,,II,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Louisiana,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
202,870,694,897,342,28259,1258670,10000,1099186,3164,132,16.0,1973,,,10/1/1997 0:00,580C,580,C,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Ohio,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
729,689,332,711,123,197010,1635163,19000,1405388,4606,132,1.0,1999,,,8/27/2008 0:00,310SE,310,SE,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,California,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
658,195,150,17,17,12494,1180193,14000,315998,3409,121,3.0,2006,1671.0,High,6/12/2008 0:00,226B,226,B,,,,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Nevada,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,Manual,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
725,185,254,479,549,34744,1270551,13000,1081583,3112,132,6.0,1994,,,1/22/1998 0:00,1845C,1845,C,,,,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,New Mexico,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
834,59,690,36,100,361154,2499204,11500,1797515,3177,149,13.0,1994,0.0,,12/18/2010 0:00,580SUPER K,580,SUPER K,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Tennessee,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
869,872,340,485,296,193570,1630876,27500,1544928,4815,132,2.0,1979,,,2/8/1995 0:00,770A,770,A,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,None or Unspecified,,,,,,,,,,,,,,,
78,429,477,615,69,65213,1335487,95000,1312837,3879,132,2.0,1997,,,9/16/2006 0:00,980G,980,G,,,Medium,Wheel Loader - 275.0 to 350.0 Horsepower,New Jersey,WL,Wheel Loader,,EROPS w AC,Yes,,Yes,,,,,,,,2 Valve,,,,,None or Unspecified,Manual,,,,,,,,,,,,,Standard,Conventional
415,605,743,898,91,215143,1679209,9750,1081870,22974,132,2.0,1000,,,2/5/2006 0:00,EX40UR-2,EX40,UR,-2,,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
713,760,758,488,30,395177,6273048,102500,767221,23245,149,1.0,2003,,,10/26/2011 0:00,966GII,966,G,II,,Medium,Wheel Loader - 225.0 to 250.0 Horsepower,Florida,WL,Wheel Loader,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,26.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
613,262,556,578,208,56620,1311220,29000,1209259,1584,132,1.0,1993,,,9/25/2001 0:00,D5HIILGP,D5,H,II,LGP,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Washington,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,4 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
496,602,654,591,952,57182,1313658,31000,1181225,4331,132,2.0,1988,,,1/13/2001 0:00,IT28B,IT28,B,,,,Wheel Loader - 110.0 to 120.0 Horsepower,New York,WL,Wheel Loader,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,3 Valve,,,,,None or Unspecified,Manual,,,,,,,,,,,,,Standard,Conventional
520,174,344,76,441,334116,2346410,7500,1700474,8370,136,,1000,2811.0,Low,10/4/2007 0:00,8875,8875,,,,,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Texas,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
944,575,810,19,577,159859,1578783,32000,1258077,4658,132,2.0,1988,,,3/24/1995 0:00,444E,444,E,,,,Wheel Loader - 90.0 to 100.0 Horsepower,New Jersey,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
787,601,374,46,301,244762,1754011,12000,1396075,11897,132,2.0,1000,,,2/4/2011 0:00,D21E-6,D21,E,-6,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
